2017年7月26日,Interface(インターフェース) 2017年 09 月号等,"2,580",https://www.amazon.co.jp/gp/css/summary/print.html/ref=oh_aui_pi_o04_?ie=UTF8&orderID=249-1664871-6011823
2017年7月25日,サーバーレスシングルページアプリケーション ―S3、AWS Lambda、API Gateway、DynamoDB、Cognitoで構築するスケーラブルなWebサービス,"2,808",https://www.amazon.co.jp/gp/css/summary/print.html/ref=oh_aui_pi_o05_?ie=UTF8&orderID=249-5519082-4196618
2017年7月25日,詳解 ディープラーニング ~TensorFlow・Kerasによる時系列データ処理~,"3,672",https://www.amazon.co.jp/gp/css/summary/print.html/ref=oh_aui_pi_o06_?ie=UTF8&orderID=249-9206121-8795836
2017年7月25日,コンピュータシステムの理論と実装 ―モダンなコンピュータの作り方,"3,888",https://www.amazon.co.jp/gp/css/summary/print.html/ref=oh_aui_pi_o07_?ie=UTF8&orderID=249-0147668-7008616
2017年7月25日,詳解 ディープラーニング ~TensorFlow・Kerasによる時系列データ処理~,"3,672",https://www.amazon.co.jp/gp/css/summary/print.html/ref=oh_aui_pi_o08_?ie=UTF8&orderID=249-8976892-0026243
2017年7月22日,生涯投資家,"1,836",https://www.amazon.co.jp/gp/css/summary/print.html/ref=oh_aui_pi_o03_?ie=UTF8&orderID=249-1336364-3921447
2017年7月21日,2週間で腹を割る!  4分鬼筋トレ,"1,404",https://www.amazon.co.jp/gp/css/summary/print.html/ref=oh_aui_pi_o05_?ie=UTF8&orderID=249-5422082-1392615
2017年7月20日,MBAより簡単で英語より大切な決算を読む習慣,"1,944",https://www.amazon.co.jp/gp/css/summary/print.html/ref=oh_aui_pi_o06_?ie=UTF8&orderID=249-1693185-2932600
2017年7月13日,IO 2017年 08 月号 [雑誌],980,https://www.amazon.co.jp/gp/css/summary/print.html/ref=oh_aui_pi_o00_?ie=UTF8&orderID=249-9040256-4247864
2017年7月13日,トランジスタ技術 2017年 8月号等,"1,364",https://www.amazon.co.jp/gp/css/summary/print.html/ref=oh_aui_pi_o01_?ie=UTF8&orderID=249-6066696-8517411
2017年7月7日,実践AWS Lambda ~「サーバレス」を実現する新しいアプリケーションのプラットフォーム~,"3,240",https://www.amazon.co.jp/gp/css/summary/print.html/ref=oh_aui_pi_o05_?ie=UTF8&orderID=249-2927818-0300624
2017年7月6日,日経Linux 2017年 08 月号,"1,540",https://www.amazon.co.jp/gp/css/summary/print.html/ref=oh_aui_pi_o06_?ie=UTF8&orderID=249-6206584-8491822
2017年7月5日,SCORER SDK スターターキット （カメラ画角60度）,"9,800",https://www.amazon.co.jp/gp/css/summary/print.html/ref=oh_aui_pi_o08_?ie=UTF8&orderID=249-6608745-3742231
2017年6月29日,デジタルビジネスへの挑戦 情報サービス産業白書 2017,"3,024",https://www.amazon.co.jp/gp/css/summary/print.html/ref=oh_aui_pi_o01_?ie=UTF8&orderID=249-6634341-5404600
2017年6月29日,日経ソフトウエア 2017年 07 月号等,"3,858",https://www.amazon.co.jp/gp/css/summary/print.html/ref=oh_aui_pi_o02_?ie=UTF8&orderID=249-5664227-2935068
2017年6月28日,TP-Link 無線LANルーター 11ac/n/a/b/g 433Mbps+300Mbps USBポート Archer C20,"2,780",https://www.amazon.co.jp/gp/css/summary/print.html/ref=oh_aui_pi_o03_?ie=UTF8&orderID=250-3337928-6434217
2017年6月28日,CR2354 リチウム電池(10個パック),600,https://www.amazon.co.jp/gp/css/summary/print.html/ref=oh_aui_pi_o04_?ie=UTF8&orderID=250-2672681-3082269
2017年6月27日,パナソニック ＣＲ２０３２ ４個　リチウム電池　Panasonic,380,https://www.amazon.co.jp/gp/css/summary/print.html/ref=oh_aui_pi_o05_?ie=UTF8&orderID=249-5554133-6849466
2017年6月26日,立地の科学―――購買行動を数値化する出店戦略等,"3,456",https://www.amazon.co.jp/gp/css/summary/print.html/ref=oh_aui_pi_o06_?ie=UTF8&orderID=249-9833365-8237401
2017年6月26日,世界史を創ったビジネスモデル (新潮選書),"1,836",https://www.amazon.co.jp/gp/css/summary/print.html/ref=oh_aui_pi_o07_?ie=UTF8&orderID=250-6059211-0259817
2017年6月26日,Logicool ロジクール MX2100sGY MX Master 2S ワイヤレスレーザーマウス グレイ FLOW機能付 Bluetooth/USB接続 Windows/Mac対応 高確度,"12,633",https://www.amazon.co.jp/gp/css/summary/print.html/ref=oh_aui_pi_o08_?ie=UTF8&orderID=250-0114816-4199834
2017年6月22日,HTML5ガイドブック 増補改訂版 (Google Expert Series),356,https://www.amazon.co.jp/gp/css/summary/print.html/ref=oh_aui_pi_o00_?ie=UTF8&orderID=249-6895296-3599061
2017年6月22日,HTML5ガイドブック 増補改訂版 (Google Expert Series),355,https://www.amazon.co.jp/gp/css/summary/print.html/ref=oh_aui_pi_o01_?ie=UTF8&orderID=249-0727512-7061444
2017年6月20日,Ruby on Rails 5 超入門,"2,624",https://www.amazon.co.jp/gp/digital/your-account/order-summary.html/ref=oh_aui_dpi_o03_?ie=UTF8&orderID=D01-3545601-8505054&print=1
2017年6月19日,パナソニック ＣＲ２０３２ ４個　リチウム電池　Panasonic,340,https://www.amazon.co.jp/gp/css/summary/print.html/ref=oh_aui_pi_o04_?ie=UTF8&orderID=249-8539274-5274268
2017年6月18日,Interface(インターフェース) 2017年 08 月号,"1,000",https://www.amazon.co.jp/gp/css/summary/print.html/ref=oh_aui_pi_o06_?ie=UTF8&orderID=249-7050020-8303819
2017年6月18日,IO 2017年 07 月号 [雑誌]等,"1,980",https://www.amazon.co.jp/gp/css/summary/print.html/ref=oh_aui_pi_o07_?ie=UTF8&orderID=249-2044854-4761407
