7962072,38,550
15381072,51,600
4632113,47,450
15714820,40,200
16172253,55,930
20584212,39,550
4832228,56,650
18655215,25,320
18588029,55,500
20118173,39,400
7805460,52,360
11473067,54,834
14046677,31,170
20319582,23,300
19890038,22,220
19976229,20,250
17884607,25,192
5119733,46,450
17448622,25,370
17455942,24,100
20325787,22,250
17378636,44,430
20310900,25,320
17303454,33,280
12600354,54,564
18252987,28,370
15967493,30,350
19937834,37,240
20470168,23,70
18800500,25,100
17762581,28,550
20441459,24,400
19561454,23,300
19301962,29,200
20343792,29,300
19889763,33,400
20362135,24,289
18545820,28,300
19498618,26,250
20467635,37,240
20302086,24,300
17329077,25,240
20485131,24,264
20540376,25,200
17646694,25,320
20331235,31,400
20518000,22,250
20596932,27,500
18076519,23,200
20432699,23,250
